federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,base_and_all_options_value,potential_total_value_of_award,action_date_fiscal_year,awarding_office_name,funding_office_name,recipient_parent_name,recipient_city_name,recipient_state_name,primary_place_of_performance_city_name,primary_place_of_performance_state_code,type_of_contract_pricing,product_or_service_code_description,naics_description,place_of_manufacture,solicitation_procedures,organizational_type,corporate_entity_not_tax_exempt,partnership_or_limited_liability_partnership,sole_proprietorship,educational_institution
0.0,2445261.05,0.0,0.0,3821511.84,2021,REGION 8 CONTRACTING OFFICE,REGION 8 (FUNDING OFFICE),"C B T LOGISTICS, LLC",ENGLEWOOD,COLORADO,DENVER,CO,FIRM FIXED PRICE,OPERATION OF OTHER WAREHOUSE BUILDINGS,GENERAL WAREHOUSING AND STORAGE,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
828512.0,3821267.0,828512.0,828512.0,3821267.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC OF MISSION SUPT (OMS) (FUNDING),"G.M. HILL ENGINEERING, INC.",JACKSONVILLE,FLORIDA,EDISON,NJ,FIRM FIXED PRICE,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,3276916.0,0.0,0.0,3276916.0,2021,CINCINNATI ACQUISITION DIV (CAD),REGION 2 (FUNDING OFFICE),"G.M. HILL ENGINEERING, INC.",JACKSONVILLE,FLORIDA,EDISON,NJ,FIRM FIXED PRICE,CONSTRUCTION OF LABORATORIES AND CLINICS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
69852.0,69852.0,69852.0,69852.0,69852.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),PARS ENVIRONMENTAL INC,ROBBINSVILLE,NEW JERSEY,TRENTON,NJ,FIRM FIXED PRICE,OTHER ENVIRONMENTAL SERVICES,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,500000.0,0.0,0.0,3012078.4,2021,HEADQUARTERS ACQUISITION DIV (HQAD),OFC OF ADMINISTRATOR (OA) (FUNDING),"INFINISOURCE CONSULTING SOLUTIONS, INC.",RESTON,VIRGINIA,WASHINGTON,DC,TIME AND MATERIALS,SUPPORT- MANAGEMENT: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
19460.0,19460.0,19460.0,19460.0,19460.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),PARS ENVIRONMENTAL INC,ROBBINSVILLE,NEW JERSEY,TRENTON,NJ,FIRM FIXED PRICE,OTHER ENVIRONMENTAL SERVICES,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
158000.0,140076.2,158000.0,158000.0,140076.2,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
82360.32,805100.32,0.0,0.0,1252273.84,2021,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFFICE FOR WATER (OW) (FUNDING),TTW SOLUTIONS INC,BETHESDA,MARYLAND,WASHINGTON,DC,LABOR HOURS,IT AND TELECOM- PROGRAMMING,CUSTOM COMPUTER PROGRAMMING SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
15831.33,15831.33,15831.33,15831.33,15831.33,2021,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",COLLEGE PARK,MARYLAND,DURHAM,NC,FIRM FIXED PRICE,IT AND TELECOM - STORAGE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,MFG IN U.S.,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
10000.0,1797000.0,0.0,0.0,3529901.91,2021,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
66540.0,243661.87,0.0,0.0,368537.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
8670.0,8670.0,8670.0,27270.0,27270.0,2021,REGION 7 CONTRACTING OFFICE,REGION 7 (FUNDING OFFICE),MUSTARDSEED CULTURAL & ENVIRONMENTAL SERVICES LLC,KANSAS CITY,MISSOURI,KANSAS CITY,MO,FIRM FIXED PRICE,EDUCATION/TRAINING- LECTURES,ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,NOT A MANUFACTURED END PRODUCT,SIMPLIFIED ACQUISITION,PARTNERSHIP,f,t,f,f
51406.0,51406.0,308436.0,1575756.0,1575756.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),ACT SERVICES CORP,FITCHBURG,MASSACHUSETTS,NARRAGANSETT,RI,FIRM FIXED PRICE,HOUSEKEEPING- CUSTODIAL JANITORIAL,JANITORIAL SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
5955.0,5955.0,5955.0,18393.0,18393.0,2021,REGION 7 CONTRACTING OFFICE,REGION 7 (FUNDING OFFICE),MUSTARDSEED CULTURAL & ENVIRONMENTAL SERVICES LLC,KANSAS CITY,MISSOURI,KANSAS CITY,MO,FIRM FIXED PRICE,EDUCATION/TRAINING- LECTURES,ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,NOT A MANUFACTURED END PRODUCT,SIMPLIFIED ACQUISITION,PARTNERSHIP,f,t,f,f
-11000.0,0.0,-11000.0,0.0,11000.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),CONSULTECH ENVIRONMENTAL LLC,CARY,NORTH CAROLINA,CARY,NC,FIRM FIXED PRICE,MISCELLANEOUS CHEMICAL SPECIALTIES,REMEDIATION SERVICES,MFG IN U.S.,SIMPLIFIED ACQUISITION,OTHER,f,f,f,f
75000.0,75000.0,75000.0,75000.0,75000.0,2021,HEADQUARTERS ACQUISITION DIV (HQAD),OFC INSPECTOR GENERAL(OIG)(FUNDING),IVY PLANNING GROUP LLC,BETHESDA,MARYLAND,WASHINGTON,DC,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,PARTNERSHIP,f,t,f,f
3035.27,2677534.49,3035.27,3035.27,2677534.49,2021,REGION 4 CONTRACTING OFFICE,REGION 4 (FUNDING OFFICE),"EXALT INTEGRATED TECHNOLOGIES, LLC",ALPHARETTA,GEORGIA,ATLANTA,GA,FIRM FIXED PRICE,IT AND TELECOM- SYSTEMS DEVELOPMENT,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
10000.0,1787000.0,0.0,0.0,3529901.91,2021,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
10468.0,10468.0,10468.0,10468.0,10468.0,2021,REGION 7 CONTRACTING OFFICE,REGION 10 (FUNDING OFFICE),"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",COLLEGE PARK,MARYLAND,SEATTLE,WA,FIRM FIXED PRICE,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),SOFTWARE PUBLISHERS,MFG IN U.S.,SIMPLIFIED ACQUISITION,CORPORATE NOT TAX EXEMPT,t,f,f,f
20000.0,179572.0,20259.0,20259.0,179831.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
-24449.0,94853.0,-24449.0,-24449.0,94853.0,2021,REGION 5 CONTRACTING OFFICE,REGION 5 (FUNDING OFFICE),"ENVIRONMENTAL COMPLIANCE OFFICE, INC.",DETROIT,MICHIGAN,CHICAGO,IL,FIRM FIXED PRICE,SPECIAL STUDIES/ANALYSIS- WATER QUALITY,ENVIRONMENTAL CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SIMPLIFIED ACQUISITION,OTHER,f,f,f,f
0.0,3399076.13,0.0,0.0,8041718.13,2021,REGION 5 CONTRACTING OFFICE,REGION 5 (FUNDING OFFICE),"VERACITY CONSULTING, INC.",OVERLAND PARK,KANSAS,CHICAGO,IL,FIRM FIXED PRICE,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
16863.27,16863.27,16863.27,16863.27,16863.27,2021,"LAB - ANN ARBOR, MI - CO OFFICE",OFC FOR AIR  RAD (OAR) (FUNDING),B & H INTERNATIONAL LLC,BAKERSFIELD,CALIFORNIA,ANN ARBOR,MI,FIRM FIXED PRICE,"GAS WELDING, HEAT CUTTING, AND METALIZING EQUIPMENT",ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,MFG IN U.S.,SIMPLIFIED ACQUISITION,OTHER,f,f,f,f
26700.0,26700.0,26700.0,26700.0,26700.0,2021,HEADQUARTERS ACQUISITION DIV (HQAD),OFC LANDEMERG MGMT (OLEM)(FUNDING),LAWANA HARRIS INC,WAKE FOREST,NORTH CAROLINA,WAKE FOREST,NC,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: OTHER,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
136433.72,1984333.72,20000.0,0.0,3999489.22,2021,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC RESEARCH  DEV (ORD) (FUNDING),TTW SOLUTIONS INC,BETHESDA,MARYLAND,BETHESDA,MD,TIME AND MATERIALS,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,CUSTOM COMPUTER PROGRAMMING SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
179919.69,3399076.13,179919.69,179919.69,8041718.13,2021,REGION 5 CONTRACTING OFFICE,REGION 5 (FUNDING OFFICE),"VERACITY CONSULTING, INC.",OVERLAND PARK,KANSAS,CHICAGO,IL,FIRM FIXED PRICE,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,253853.34,0.0,0.0,253853.34,2021,REGION 7 CONTRACTING OFFICE,REGION 7 (FUNDING OFFICE),AUXILIO MANAGEMENT SERVICES,DENVER,COLORADO,GRAND ISLAND,NE,FIRM FIXED PRICE,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,REMEDIATION SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
87750.0,87750.0,87750.0,87750.0,87750.0,2021,REGION 5 CONTRACTING OFFICE,REGION 5 (FUNDING OFFICE),ENVIRONMENTAL SOLUTIONS AQ LLC,OXFORD,OHIO,OXFORD,OH,FIRM FIXED PRICE,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,ENVIRONMENTAL CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,PARTNERSHIP,f,t,f,f
550000.0,1777000.0,740586.75,0.0,3529901.91,2021,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,3276916.0,0.0,0.0,3276916.0,2021,CINCINNATI ACQUISITION DIV (CAD),REGION 2 (FUNDING OFFICE),"G.M. HILL ENGINEERING, INC.",JACKSONVILLE,FLORIDA,EDISON,NJ,FIRM FIXED PRICE,CONSTRUCTION OF LABORATORIES AND CLINICS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
3860.0,86904.0,3860.0,0.0,86904.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
402000.0,603111.31,427642.0,0.0,1083649.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
-1124.13,4902630.35,-1124.13,-1124.13,4998755.07,2021,HEADQUARTERS ACQUISITION DIV (HQAD),OFC OF MISSION SUPT (OMS) (FUNDING),INNOVATE! INC,ALEXANDRIA,VIRGINIA,WASHINGTON,DC,TIME AND MATERIALS,OTHER ENVIRONMENTAL SERVICES,OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,1234883.22,0.0,0.0,2569148.42,2021,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),INNOVATE! INC,ALEXANDRIA,VIRGINIA,ARLINGTON,VA,TIME AND MATERIALS,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
465448.12,2694498.09,1387164.48,0.0,7843561.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC OF MISSION SUPT (OMS) (FUNDING),"SOLUTION ONE INDUSTRIES, INC.",KILLEEN,TEXAS,WASHINGTON,DC,FIRM FIXED PRICE,OPERATION OF MISCELLANEOUS BUILDINGS,FACILITIES SUPPORT SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
10945.0,10945.0,10945.0,10945.0,10945.0,2021,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC INSPECTOR GENERAL(OIG)(FUNDING),"PANAMERICA COMPUTERS, INC.",LURAY,VIRGINIA,LURAY,VA,FIRM FIXED PRICE,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,MFG IN U.S.,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,422318.0,0.0,0.0,2217278.0,2021,HEADQUARTERS ACQUISITION DIV (HQAD),OFC OF ADMINISTRATOR (OA) (FUNDING),JLAN SOLUTIONS LLC,WASHINGTON,DISTRICT OF COLUMBIA,WASHINGTON,DC,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,SOLE PROPRIETORSHIP,f,f,t,f
15000.0,285666.0,0.0,0.0,914513.46,2021,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,ALEXANDRIA,VA,TIME AND MATERIALS,IT AND TELECOM- SYSTEMS DEVELOPMENT,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
-260.0,722740.0,0.0,0.0,1252273.84,2021,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFFICE FOR WATER (OW) (FUNDING),TTW SOLUTIONS INC,BETHESDA,MARYLAND,WASHINGTON,DC,LABOR HOURS,IT AND TELECOM- PROGRAMMING,CUSTOM COMPUTER PROGRAMMING SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
175427.2,1510595.2,688800.0,0.0,3445824.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC OF MISSION SUPT (OMS) (FUNDING),JYG INNOVATIONS LLC,DAYTON,OHIO,CINCINNATI,OH,FIRM FIXED PRICE,SUPPORT- ADMINISTRATIVE: MAILING/DISTRIBUTION,FACILITIES SUPPORT SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
349863.0,349863.0,349863.0,349863.0,349863.0,2021,CINCINNATI ACQUISITION DIV (CAD),OFC OF MISSION SUPT (OMS) (FUNDING),"RHD ENTERPRISES, INC.",LACEY,WASHINGTON,PORT ORCHARD,WA,FIRM FIXED PRICE,CONSTRUCTION OF LABORATORIES AND CLINICS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,NOT A MANUFACTURED END PRODUCT,SIMPLIFIED ACQUISITION,CORPORATE NOT TAX EXEMPT,t,f,f,f
